x-axis,1,2
second,Volt,Volt
-2.500000,-0.029664,0.735055
-2.497499,-0.009836,0.754883
-2.494997,0.007772,0.772491
-2.492496,0.081173,0.845891
-2.489995,0.062822,0.827541
-2.487494,-0.030621,0.734098
-2.484992,0.068844,0.833563
-2.482491,0.016455,0.781174
-2.479990,-0.001430,0.763288
-2.477489,0.016213,0.780932
-2.474987,-0.004649,0.760069
-2.472486,-0.002816,0.761902
-2.469985,0.033792,0.798511
-2.467484,0.031963,0.796681
-2.464982,0.032148,0.796866
-2.462481,0.015232,0.779951
-2.459980,-0.027391,0.737328
-2.457479,0.016270,0.780988
-2.454977,0.036980,0.801699
-2.452476,0.011090,0.775809
-2.449975,0.023471,0.788190
-2.447474,0.016489,0.781207
-2.444972,-0.006883,0.757835
-2.442471,0.006666,0.771385
-2.439970,-0.017859,0.746860
-2.437469,0.020152,0.784871
-2.434967,-0.026020,0.738698
-2.432466,-0.024246,0.740472
-2.429965,-0.018363,0.746356
-2.427464,-0.066788,0.697930
-2.424962,0.032628,0.797347
-2.422461,0.007377,0.772095
-2.419960,-0.017125,0.747594
-2.417459,0.031084,0.795802
-2.414957,-0.038824,0.725894
-2.412456,-0.002319,0.762399
-2.409955,-0.005477,0.759241
-2.407454,0.007241,0.771959
-2.404952,0.007097,0.771815
-2.402451,-0.019619,0.745100
-2.399950,-0.000682,0.764037
-2.397449,-0.003740,0.760978
-2.394947,0.014239,0.778957
-2.392446,0.024800,0.789518
-2.389945,0.025163,0.789881
-2.387444,-0.019591,0.745127
-2.384942,0.001755,0.766473
-2.382441,-0.027541,0.737177
-2.379940,-0.025259,0.739460
-2.377439,-0.000155,0.764563
-2.374937,0.034766,0.799485
-2.372436,-0.017459,0.747259
-2.369935,0.008424,0.773143
-2.367434,-0.005117,0.759601
-2.364932,0.025346,0.790065
-2.362431,-0.024704,0.740014
-2.359930,0.000739,0.765457
-2.357429,0.012534,0.777252
-2.354927,0.024966,0.789685
-2.352426,0.035029,0.799747
-2.349925,0.001949,0.766668
-2.347424,-0.033835,0.730883
-2.344922,-0.016838,0.747880
-2.342421,-0.024081,0.740638
-2.339920,0.053318,0.818036
-2.337419,-0.013964,0.750754
-2.334917,0.016969,0.781688
-2.332416,-0.004365,0.760354
-2.329915,0.020157,0.784876
-2.327414,-0.017350,0.747369
-2.324912,-0.031809,0.732909
-2.322411,-0.032265,0.732453
-2.319910,0.011074,0.775793
-2.317409,-0.004024,0.760695
-2.314907,-0.004447,0.760271
-2.312406,0.032196,0.796914
-2.309905,0.006614,0.771333
